m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|lastFloor|furnished|registered|placeTitle
65|district|1|115000|10/27/2022 15:18:11|1.5|-1|False||yes|Cerak Vinogradi
62|gas|0|119000|04/07/2023 17:33:24|2.5|1|True|no|yes|Filmski Grad
0||1|0|03/02/2023 07:32:40|0|0|False||in_progress|Čukarica
70|district|1|189000|04/18/2023 10:26:26|2.5|5|False|semi|yes|Banovo Brdo
296|gas|1|620000|05/04/2023 17:06:55|4|7|True||no|Cerak Vinogradi
60|gas|0|170000|05/30/2022 13:29:34|2.5|2|True|no|yes|Golf Naselje
94|district|0|150000|04/20/2023 18:06:55|3.5|6|True||yes|Banovo Brdo
53|central|0|130000|03/29/2023 16:06:43|2|4|False||yes|Banovo Brdo
38|airConditioning|0|59990|04/28/2023 22:01:09|2|-1|False|yes|yes|Železnik
43|storageHeater|0|74000|04/09/2023 09:46:38|2|100|False|no|yes|Julino Brdo
43|storageHeater|0|84000|04/09/2023 09:21:03|2|1|False|no|yes|Julino Brdo
92|district|1|209900|10/31/2022 13:18:53|3.5|0|False||yes|Banovo Brdo
73|district|1|148000|04/26/2023 19:38:09|2.5|2|False|no|yes|Cerak Vinogradi
78||1|155000|04/21/2023 16:40:14|3|0|False||yes|Banovo Brdo
69|district|1|177000|10/31/2022 11:18:57|2.5|1|False||yes|Banovo Brdo
79|gas|0|123000|05/27/2021 15:55:32|3|2|True||yes|Cerak
58|gas|0|101500|04/20/2023 19:24:18|2|2|False||yes|Bele Vode
81|district|1|230000|02/03/2023 15:31:41|3|5|True|no|yes|Banovo Brdo
47|district|1|119000|03/24/2023 15:30:01|1.5|3|False|no|yes|Čukarička Padina
62|district|1|170000|04/26/2023 17:34:48|2.5|1|False|no|yes|Čukarička Padina
73|central|0|230000|09/10/2021 17:25:49|2.5|2|False|no|yes|Banovo Brdo
42|central|0|77000|03/28/2023 13:31:24|2|5|True|no|yes|Žarkovo
100|central|1|350000|04/10/2023 22:34:21|2.5|5|True|no||Banovo Brdo
65|district|1|155000|03/06/2023 14:06:17|2.5|2|False|no|yes|Čukarička Padina
53|storageHeater|0|130000|05/05/2023 14:06:52|2|4|True|no||Banovo Brdo
58|district|0|130000|05/05/2023 14:06:48|2.5|1|True|no|yes|Bele Vode
126|electricity|0|250000|10/22/2021 14:16:30|6|1|False|no||Banovo Brdo
44|district|0|125000|03/25/2022 16:00:53|1.5|2|False|no||Banovo Brdo
68||0|136000|05/03/2022 18:05:10|3|5|False|no||Banovo Brdo
125|district|0|250000|05/27/2022 16:06:32|3.5|5|True|no|yes|Banovo Brdo
83|gas|1|232512|07/04/2022 16:20:09|4|2|False|no||Banovo Brdo
83|gas|1|232512|07/04/2022 16:20:10|4|1|False|no||Banovo Brdo
79|district|0|116000|07/11/2022 16:20:22|2.5|-1|False|no|yes|Žarkovo
117|gas|1|327600|07/29/2022 18:23:14|3.5|5|False|no|yes|Banovo Brdo
99|gas|1|277200|07/29/2022 20:22:09|3|5|False|no|yes|Banovo Brdo
92|gas|0|235000|08/04/2022 18:22:33|2|0|False|no|yes|Banovo Brdo
78|district|1|175000|09/19/2022 16:26:04|3.5|4|True|no|yes|Banovo Brdo
47|gas|1|115312|10/20/2022 20:22:38|1|-1|False|no||Banovo Brdo
60|gas|1|150800|10/20/2022 22:21:58|3|1|False|no||Banovo Brdo
68|gas|1|171150|10/21/2022 14:24:33|3|2|False|no||Banovo Brdo
137|gas|1|349375|10/21/2022 16:24:07|4|4|True|no||Banovo Brdo
154|central|0|360000|11/12/2022 14:21:04|3|1|False|no|yes|Banovo Brdo
159|gas|0|336000|11/29/2022 20:21:47|6|1|False|no|yes|Banovo Brdo
159|electricity|0|330000|12/06/2022 20:24:17|4.5|1|False|no|yes|Banovo Brdo
142|gas|0|610000|12/19/2022 18:22:30|4.5|3|False|no|yes|Banovo Brdo
130|gas|0|500000|12/20/2022 13:27:56|4|2|False|no|yes|Banovo Brdo
