Lokacija|BrojSoba|Mesec|Datum|ProsecnaCena
Barajevo|1|001|01/01/2018|531,8199999999999
Barajevo|1|002|02/01/2018|487,765
Barajevo|1|003|03/01/2018|499,06
Barajevo|1|004|04/01/2018|476,66499999999996
Barajevo|1|005|05/01/2018|493,485
Barajevo|1|006|06/01/2018|491,875
Barajevo|1|007|07/01/2018|479,85
Barajevo|1|008|08/01/2018|467,01666666666665
Barajevo|1|009|09/01/2018|493,67499999999995
Barajevo|1|010|10/01/2018|507,8533333333333
Barajevo|1|011|11/01/2018|487,44
Barajevo|1|012|12/01/2018|472,34
Barajevo|1|101|01/01/2019|487,58666666666664
Barajevo|1|102|02/01/2019|448,16
Barajevo|1|103|03/01/2019|430,17
Barajevo|1|104|04/01/2019|447,90000000000003
Barajevo|1|105|05/01/2019|468,995
Barajevo|1|106|06/01/2019|494,38
Barajevo|1|107|07/01/2019|494,38
Barajevo|1|108|08/01/2019|489,555
Barajevo|1|109|09/01/2019|477,1
Barajevo|1|110|10/01/2019|482,31
Barajevo|1|111|11/01/2019|469,83
Barajevo|1|112|12/01/2019|471,4
Barajevo|1|201|01/01/2020|472,97
Barajevo|1|202|02/01/2020|472,97
Barajevo|1|203|03/01/2020|472,97
Barajevo|1|204|04/01/2020|534,88
Barajevo|1|205|05/01/2020|534,88
Barajevo|1|206|06/01/2020|534,88
Barajevo|1|207|07/01/2020|534,88
Barajevo|1|208|08/01/2020|492,38
Barajevo|1|209|09/01/2020|534,88
Barajevo|1|210|10/01/2020|511,23
Barajevo|1|211|11/01/2020|493,33
Barajevo|1|212|12/01/2020|543,48
Barajevo|1|301|01/01/2021|543,48
Barajevo|1|302|02/01/2021|556,23
Barajevo|1|303|03/01/2021|543,7033333333334
Barajevo|1|304|04/01/2021|551,5
Barajevo|1|305|05/01/2021|543,48
Barajevo|1|306|06/01/2021|520,91
Barajevo|1|307|07/01/2021|526,55500000000006
Barajevo|1|308|08/01/2021|512,2
Barajevo|1|309|09/01/2021|515,7
Barajevo|1|310|10/01/2021|515,7
Barajevo|1|311|11/01/2021|515,7
Barajevo|1|312|12/01/2021|521,74
Barajevo|1|401|01/01/2022|521,74
Barajevo|1|402|02/01/2022|532,61
Barajevo|1|403|03/01/2022|566,5166666666667
Barajevo|1|404|04/01/2022|591,84
Barajevo|1|405|05/01/2022|730,37
Barajevo|1|406|06/01/2022|800
Barajevo|1|407|07/01/2022|823,47
Barajevo|1|408|08/01/2022|880,2266666666668
Barajevo|1|409|09/01/2022|839,505
Barajevo|1|410|10/01/2022|808,51
Barajevo|1|411|11/01/2022|827,23
Barajevo|1|412|12/01/2022|877,96
Barajevo|1|501|01/01/2023|880,1
Barajevo|1|502|02/01/2023|999,79
Barajevo|1|503|03/01/2023|984,89
Barajevo|1|504|04/01/2023|957,23
Barajevo|1|505|05/01/2023|884,655
Barajevo|1|506|06/01/2023|890,03
Barajevo|1,5|001|01/01/2018|390,98
Barajevo|1,5|002|02/01/2018|390,98
Barajevo|1,5|003|03/01/2018|422,69500000000005
Barajevo|1,5|004|04/01/2018|366,67
Barajevo|1,5|005|05/01/2018|366,67
Barajevo|1,5|006|06/01/2018|387,345
Barajevo|1,5|007|07/01/2018|395,55
Barajevo|1,5|008|08/01/2018|435,56333333333333
Barajevo|1,5|009|09/01/2018|459,57
Barajevo|1,5|010|10/01/2018|462,74333333333334
Barajevo|1,5|011|11/01/2018|460,59
Barajevo|1,5|012|12/01/2018|464,12
Barajevo|1,5|101|01/01/2019|467,6566666666667
Barajevo|1,5|102|02/01/2019|454,48
Barajevo|1,5|103|03/01/2019|433,37
Barajevo|1,5|104|04/01/2019|435,16
Barajevo|1,5|105|05/01/2019|425,19
Barajevo|1,5|106|06/01/2019|426,67
Barajevo|1,5|107|07/01/2019|438,33
Barajevo|1,5|108|08/01/2019|464,82
Barajevo|1,5|109|09/01/2019|461,38
Barajevo|1,5|110|10/01/2019|508,10999999999996
Barajevo|1,5|111|11/01/2019|546,88
Barajevo|1,5|112|12/01/2019|510,905
Barajevo|1,5|201|01/01/2020|468,07
Barajevo|1,5|202|02/01/2020|473,21
Barajevo|1,5|203|03/01/2020|549,105
Barajevo|1,5|204|04/01/2020|582,5962
Barajevo|1,5|205|05/01/2020|625
Barajevo|1,5|206|06/01/2020|831,62
Barajevo|1,5|207|07/01/2020|788,24
Barajevo|1,5|208|08/01/2020|764,71
Barajevo|1,5|209|09/01/2020|676,75
Barajevo|1,5|210|10/01/2020|660,93
Barajevo|1,5|211|11/01/2020|875
Barajevo|1,5|212|12/01/2020|875
Barajevo|1,5|301|01/01/2021|875
Barajevo|1,5|302|02/01/2021|875
Barajevo|1,5|303|03/01/2021|812,0166666666668
Barajevo|1,5|304|04/01/2021|714,8199999999999
Barajevo|1,5|305|05/01/2021|709,09
Barajevo|1,5|306|06/01/2021|638,78
Barajevo|1,5|307|07/01/2021|623,47
Barajevo|1,5|308|08/01/2021|681,82
Barajevo|1,5|309|09/01/2021|661,27
Barajevo|1,5|310|10/01/2021|657,93
Barajevo|1,5|311|11/01/2021|638,49
Barajevo|1,5|312|12/01/2021|638,49
Barajevo|1,5|401|01/01/2022|616,67
Barajevo|1,5|402|02/01/2022|616,67
Barajevo|1,5|403|03/01/2022|616,67
Barajevo|1,5|404|04/01/2022|623,78
Barajevo|1,5|405|05/01/2022|673,78
Barajevo|1,5|406|06/01/2022|716,39
Barajevo|1,5|407|07/01/2022|716,39
Barajevo|1,5|408|08/01/2022|774,67
Barajevo|1,5|409|09/01/2022|774,67
Barajevo|1,5|410|10/01/2022|789,23
Barajevo|1,5|411|11/01/2022|825,79
Barajevo|1,5|412|12/01/2022|872,73
Barajevo|1,5|501|01/01/2023|915,4166666666666
Barajevo|1,5|502|02/01/2023|922,33
Barajevo|1,5|503|03/01/2023|917,49
Barajevo|1,5|504|04/01/2023|907,28
Barajevo|1,5|505|05/01/2023|927,08
Barajevo|1,5|506|06/01/2023|914,8199999999999
Barajevo|2|001|01/01/2018|442,98
Barajevo|2|002|02/01/2018|412,515
