Lokacija|BrojSoba|Mesec|Datum|ProsecnaCena
Barajevo|0.5|001|01/01/2018|0
Barajevo|0.5|002|02/01/2018|0
Barajevo|0.5|003|03/01/2018|0
Barajevo|0.5|004|04/01/2018|0
Barajevo|0.5|005|05/01/2018|0
Barajevo|0.5|006|06/01/2018|0
Barajevo|0.5|007|07/01/2018|0
Barajevo|0.5|008|08/01/2018|0
Barajevo|0.5|009|09/01/2018|0
Barajevo|0.5|010|10/01/2018|0
Barajevo|0.5|011|11/01/2018|0
Barajevo|0.5|012|12/01/2018|0
Barajevo|0.5|101|01/01/2019|0
Barajevo|0.5|102|02/01/2019|0
Barajevo|0.5|103|03/01/2019|0
Barajevo|0.5|104|04/01/2019|0
Barajevo|0.5|105|05/01/2019|0
Barajevo|0.5|106|06/01/2019|600
Barajevo|0.5|107|07/01/2019|600
Barajevo|0.5|108|08/01/2019|107.46
Barajevo|0.5|109|09/01/2019|107.46
Barajevo|0.5|110|10/01/2019|107.46
Barajevo|0.5|111|11/01/2019|0
Barajevo|0.5|112|12/01/2019|0
Barajevo|0.5|201|01/01/2020|0
Barajevo|0.5|202|02/01/2020|120.32
Barajevo|0.5|203|03/01/2020|105.59
Barajevo|0.5|204|04/01/2020|0
Barajevo|0.5|205|05/01/2020|101.19
Barajevo|0.5|206|06/01/2020|101.19
Barajevo|0.5|207|07/01/2020|101.19
Barajevo|0.5|208|08/01/2020|350.595
Barajevo|0.5|209|09/01/2020|600
Barajevo|0.5|210|10/01/2020|0
Barajevo|0.5|211|11/01/2020|0
Barajevo|0.5|212|12/01/2020|0
Barajevo|0.5|301|01/01/2021|0
Barajevo|0.5|302|02/01/2021|0
Barajevo|0.5|303|03/01/2021|0
Barajevo|0.5|304|04/01/2021|0
Barajevo|0.5|305|05/01/2021|0
Barajevo|0.5|306|06/01/2021|348.84
Barajevo|0.5|307|07/01/2021|0
Barajevo|0.5|308|08/01/2021|0
Barajevo|0.5|309|09/01/2021|0
Barajevo|0.5|310|10/01/2021|0
Barajevo|0.5|311|11/01/2021|0
Barajevo|0.5|312|12/01/2021|0
Barajevo|0.5|401|01/01/2022|0
