m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|lastFloor|furnished|registered|placeTitle
70|district|1|104900|03/13/2023 23:02:42|3|5|True|no|in_progress|Miljakovac II
84|district|1|115000|10/17/2022 19:22:45|4|11|False|no|yes|Petlovo Brdo
71|district|0|154900|01/06/2023 14:15:32|3|3|False|no|yes|Miljakovac
99|gas|0|120000|01/06/2023 14:15:36|2|2|True|no|yes|Petlovo Brdo
32|central|0|67000|01/06/2023 14:15:43|1|-1|False|no|yes|Miljakovac
45|district|0|99000|01/06/2023 14:15:50|2|1|False|no|yes|Labudovo Brdo
61|district|0|128100|04/21/2023 22:17:01|2.5|1|False|no|yes|Kanarevo Brdo
22|district|0|56000|03/04/2023 14:10:46|1|-1|False|no|yes|Miljakovac
46|central|0|88500|03/04/2023 10:28:35|2|4|True|yes|yes|Rakovica - Centar
92|district|1|180000|06/03/2022 18:04:57|3.5|1|False|no|yes|Stari Košutnjak
96|district|1|175000|09/03/2022 14:17:07|4|0|False|no|yes|Vidikovac
64|district|1|138000|11/14/2022 20:21:45|2|2|False|no|yes|Vidikovac
128|district|1|230000|12/24/2022 11:26:57|4.5|7|True|no|yes|Vidikovac
70|district|0|143000|02/01/2023 11:28:24|2.5|3|True|no|yes|Vidikovac
62|district|1|93000|11/02/2022 20:10:48|2.5|-1|False|no|yes|Miljakovac II
72|gas|0|129900|08/02/2022 18:11:02|2.5|-1|False|no|yes|Petlovo Brdo
60|district|1|110000|05/01/2023 14:11:37|2|4|False|no|yes|Miljakovac
92|district|1|210000|06/02/2022 12:49:34|3.5|1|False|yes|yes|Stari Košutnjak
61|district|0|130000|02/09/2023 16:21:37|2|-1|False|no|yes|Miljakovac
90|district|0|143900|08/31/2022 22:18:46|4|5|False|no|yes|Miljakovac
70|district|1|140000|02/01/2023 19:16:08|2.5|0|False|yes|yes|Miljakovac
50|district|0|112000|12/01/2022 18:10:19|2|2|False|yes|yes|Kanarevo Brdo
90|gas|0|129900|10/01/2022 17:27:23|3|-1|False|yes|yes|Petlovo Brdo
