m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|placeTitle
128|district|1|230000|12/24/2022 11:26:57|4.5|7|Vidikovac
42|electricity|0|88000|03/07/2023 15:15:24|1.5|4|Kanarevo Brdo
70|district|1|109900|03/13/2023 23:02:42|3|5|Miljakovac II
68|central|1|94998|08/05/2022 15:30:39|2.5|9|Vidikovac
59|district|1|150000|04/10/2023 16:09:25|2.5|2|Vidikovac
52|district|1|120000|10/31/2022 14:30:47|1.5|1|Vidikovac
95|district|0|150000|03/30/2023 14:23:00|3.5|2|Vidikovac
130|district|1|230000|04/07/2023 14:23:24|5|7|Vidikovac
72|district|1|140000|03/29/2023 20:21:45|2.5|0|Vidikovac
95|district|1|180000|04/03/2023 13:20:57|2.5|5|Skojevsko Naselje
50|central|1|95000|11/14/2022 14:19:16|2|2|Vidikovac
96|district|2|180000|03/29/2023 13:22:32|3.5|3|Vidikovac
66|central|0|119900|04/05/2023 16:22:17|2.5|-1|Petlovo Brdo
60|district|3|99000|10/10/2022 16:19:44|2|14|Vidikovac
37|district|0|74000|04/03/2023 19:06:33|1.5|0|Kanarevo Brdo
84|district|1|115000|10/17/2022 19:22:45|4|11|Petlovo Brdo
32|district|0|66000|03/27/2023 14:29:47|1|0|Petlovo Brdo
103|district|1|159000|04/07/2023 20:06:52|4.5|4|Vidikovac
43|district|1|104000|03/25/2023 15:06:02|3|4|Miljakovac
84|district|1|160000|04/24/2023 14:10:14|3.5|6|Vidikovac
69|norwegianRadiators|1|128000|02/25/2023 13:30:43|2.5|9|Labudovo Brdo
140|central|0|160000|08/02/2022 18:23:39|5|2|Vidikovac
64|district|1|138000|11/14/2022 20:21:45|2|2|Vidikovac
37|gas|1|102000|03/25/2023 11:20:20|2|-1|Vidikovac
55||0|95000|04/24/2023 11:05:37|2|2|Labudovo Brdo
79|district|0|160000|03/25/2023 10:09:30|3|1|Miljakovac I
64|district|1|92000|03/25/2023 10:09:11|2.5|8|Labudovo Brdo
77|district|1|162000|03/25/2023 10:09:08|3|4|Miljakovac
64|district|1|138000|03/25/2023 10:08:56|2|2|Vidikovac
113|district|1|175000|03/25/2023 10:08:53|4.5|6|Kanarevo Brdo
53|district|1|97000|03/25/2023 10:08:48|1.5|11|Vidikovac
56|electricity|0|92400|03/25/2023 10:08:11|2|-1|Vidikovac
39|central|1|80000|03/25/2023 10:07:44|1.5|5|Labudovo Brdo
200|underfloor|1|199000|03/25/2023 10:07:14|2|1|Petlovo Brdo
95|district|1|130000|03/25/2023 10:07:12|3.5|6|Miljakovac
110|central|0|130000|03/25/2023 10:06:25|4|4|Kanarevo Brdo
88|district|1|115000|03/25/2023 10:06:23|3|5|Miljakovac II
90|district|1|180000|03/24/2023 21:27:09|5|5|Rakovica - Centar
61|district|0|130000|02/24/2023 20:28:58|2|-1|Miljakovac
49||1|102000|03/24/2023 20:13:09|2|-1|Vidikovac
89|district|1|185000|04/23/2023 20:11:43|4|4|Skojevsko Naselje
130|district|1|230000|01/24/2023 19:37:51|5|7|Vidikovac
35|district|1|78000|02/24/2023 19:06:36|1|8|Miljakovac
37|central|0|65000|04/23/2023 18:34:32|1.5|1|Vidikova��ka Pa
30|central|0|50000|02/24/2023 18:05:55|1|2|Kne��
39|district|1|104000|03/24/2023 17:32:47|1.5|4|Miljakovac II
41|district|1|100000|03/24/2023 17:30:24|1|3|Skojevsko Naselje
75|district|1|230000|01/24/2023 17:30:26|5|7|Vidikovac
65|district|0|82990|03/25/2023 11:29:33|2|0|Petlovo Brdo
87|district|1|180000|08/24/2022 16:17:00|4|8|Vidikovac
88|district|1|115000|12/24/2022 16:17:36|3|5|Miljakovac
41|central|0|82200|11/24/2022 16:10:42|2|0|Kne��
37|central|0|73800|11/24/2022 16:10:42|1.5|0|Rakovica - Centar
37|central|0|73800|11/24/2022 16:10:42|1.5|0|Kne��
41|central|0|82200|11/24/2022 16:10:42|2|2|Kne��
37|central|0|73800|11/24/2022 16:10:42|1.5|2|Kne��
37|central|0|73800|11/24/2022 16:10:42|1.5|2|Kne��
92||1|298000|03/24/2023 15:15:36|3.5|0|Stari Ko��ut
37|gas|0|102000|03/24/2023 15:03:04|1.5|-1|Vidikovac
37|gas|1|102000|03/24/2023 14:21:57|2|-1|Vidikovac
37|district|1|99000|03/24/2023 14:11:01|1|3|Skojevsko Naselje
72|gas|0|129900|01/24/2023 13:29:28|3|-1|Petlovo Brdo
88|district|1|115000|12/24/2022 13:30:33|3|5|Miljakovac II
47|central|0|101000|09/24/2022 13:25:48|1|2|Skojevsko Naselje
82|central|0|99900|03/24/2023 13:15:01|3|2|Rakovica - Centar
134|district|0|235000|11/24/2022 12:20:54|4|3|Stari Ko��ut
37|gas|1|102000|03/24/2023 12:10:46|2|-1|Vidikovac
33|electricity|0|66000|03/24/2023 12:06:12|1|1|Vidikova��ka Pa
30|central|0|50000|04/22/2023 21:00:08|1.5|3|Rakovica - Centar
72|electricity|0|135000|01/23/2023 19:40:10|2|2|Rakovica - Centar
77|district|1|159990|11/23/2022 16:19:08|3|4|Miljakovac
77|district|1|162000|11/23/2022 16:18:39|3|4|Miljakovac II
36|district|0|63000|01/23/2023 15:59:34|1.5|-1|Miljakovac I
65|central|0|128000|04/22/2023 14:07:42|3|-1|Miljakovac III
65|central|0|128000|04/22/2023 14:07:42|3|2|Miljakovac III
76|gas|0|153000|02/23/2022 13:09:32|3|-1|Petlovo Brdo
61|electricity|0|103000|01/23/2023 12:20:22|2.5|1|Petlovo Brdo
75|central|0|135000|03/04/2023 14:05:33|2|3|Rakovica
60|electricity|0|80000|03/10/2023 19:05:39|2|4|Kne��
61||1|110000|10/26/2022 18:05:25|2.5|14|Vidikovac
136||0|190000|03/10/2023 19:05:35|5|0|Rakovica
34|district|1|79000|12/15/2022 18:20:07|1.5|8|Miljakovac
36||0|69000|02/23/2023 08:29:26|1|5|Miljakovac I
54|district|0|97000|02/23/2023 01:07:21|2.5|4|Miljakovac
129|central|0|195000|08/22/2022 23:21:27|4|-1|Kanarevo Brdo
61|district|0|128000|04/21/2023 22:17:01|2.5|1|Kanarevo Brdo
92|district|1|190000|03/22/2023 20:11:11|3.5|3|Stari Ko��ut
61||0|98000|12/22/2022 19:25:38|3|1|Petlovo Brdo
92|district|1|298000|02/22/2023 19:25:30|4|2|Stari Ko��ut
115|district|2|180000|07/22/2022 18:30:58|5|8|Vidikovac
78|district|0|154900|07/22/2022 18:11:17|3|3|Miljakovac
75|district|1|119000|09/22/2022 17:05:40|3.5|9|Skojevsko Naselje
39|district|1|79000|12/05/2022 20:14:08|1|5|Miljakovac II
92|district|1|185000|08/22/2022 15:30:34|3.5|3|Stari Ko��ut
97|district|1|170000|07/18/2022 10:20:33|3|5|Vidikovac
73|district|0|130000|03/22/2021 13:55:33|3|-1|Petlovo Brdo
64|central|0|70000|01/22/2023 13:30:54|3|4|Kanarevo Brdo
101|central|0|140000|04/21/2023 13:33:06|3|3|Vidikova��ka Pa
90|district|0|165000|07/22/2022 13:17:07|4|3|Labudovo Brdo
49|district|1|97000|11/22/2022 12:19:09|1.5|6|Miljakovac
33|central|0|61900|11/30/2022 18:19:56|1.5|0|Vidikova��ka Pa
48|central|3|100000|02/01/2022 11:25:28|2|14|Vidikovac
75|district|1|119000|04/21/2023 10:22:55|3.5|10|Skojevsko Naselje
72|electricity|0|135000|12/22/2022 09:27:09|2|2|Rakovica
71|district|1|118000|04/20/2023 22:08:28|3|-1|Miljakovac
105||0|145990|02/21/2022 20:08:00|4.5|3|Labudovo Brdo
120||0|119990|02/21/2022 20:08:00|4.5|3|Labudovo Brdo
51|district|3|106000|04/20/2023 19:47:22|1.5|0|Vidikovac
92|district|0|113000|01/11/2023 15:24:56|3.5|3|Resnik
46|central|0|88500|03/20/2023 12:21:41|2|4|Rakovica
85|district|0|99000|03/07/2023 13:21:26|3|3|Resnik
50|district|0|87000|03/17/2023 16:20:45|2|3|Kanarevo Brdo
45|district|0|99000|11/08/2022 15:18:15|2|1|Labudovo Brdo
62|electricity|0|90200|03/21/2023 18:19:36|2.5|4|Rakovica
35|district|0|70000|03/21/2023 18:15:18|1.5|-1|Skojevsko Naselje
96||1|280000|04/20/2023 18:07:00|4|3|Stari Ko��ut
28|district|0|50000|03/21/2023 17:21:21|1.5|-3|Miljakovac I
36|district|0|50000|01/21/2023 16:15:49|2|1|Kanarevo Brdo
95|district|1|180000|03/21/2023 16:06:20|3|5|Skojevsko Naselje
101|central|0|140000|04/20/2023 15:33:04|3|3|Vidikova��ka Pa
88|district|1|115000|12/21/2022 15:28:20|3|5|Miljakovac II
77|district|1|165000|11/21/2022 15:18:44|3|4|Miljakovac II
70|district|0|143000|02/01/2023 11:28:24|2.5|3|Vidikovac
120|gas|0|134000|01/11/2023 16:16:24|5|1|Petlovo Brdo
